latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-14.911725,  -147.880180,  1.707777,  5.741866
-14.724647,  -147.827930,  1.613874,  5.778363
-14.536506,  -147.779152,  1.506613,  5.811218
-14.348360,  -147.733494,  1.410264,  5.811342
-14.159108,  -147.691144,  1.308093,  5.845529
-13.967805,  -147.650726,  1.248391,  5.908839
-13.774199,  -147.612701,  1.174509,  5.980022
-13.577523,  -147.576596,  1.115201,  6.074814
-13.377556,  -147.543765,  1.014064,  6.176476
-13.173116,  -147.515305,  0.879038,  6.314624
-12.963448,  -147.489971,  0.782519,  6.476116
-12.749398,  -147.469972,  0.617702,  6.611468
-12.532412,  -147.453190,  0.518364,  6.702139
-12.312114,  -147.441601,  0.357957,  6.804433
-12.090703,  -147.434160,  0.229833,  6.838849
-11.869443,  -147.433170,  0.030588,  6.834158
-11.649446,  -147.435258,  -0.064512,  6.795141
-11.430944,  -147.440283,  -0.155201,  6.748967
-11.215184,  -147.448423,  -0.251433,  6.664269
-11.005822,  -147.433724,  0.454027,  6.466668
-10.797920,  -147.422123,  0.358305,  6.421582
-10.590932,  -147.413603,  0.263188,  6.393311
-10.385914,  -147.409358,  0.131118,  6.332496
-10.181214,  -147.408194,  0.035946,  6.322656
-9.979755,  -147.410094,  -0.058707,  6.222567
-9.761461,  -147.431241,  -0.653153,  6.742541
-9.541599,  -147.454333,  -0.713254,  6.790985
-9.324288,  -147.479335,  -0.772270,  6.712181
-9.108333,  -147.505190,  -0.798579,  6.670312
-8.896452,  -147.536226,  -0.958634,  6.544463
-8.686018,  -147.573402,  -1.148275,  6.499757
-8.478786,  -147.605978,  -1.006166,  6.400883
-8.280292,  -147.633896,  -0.862329,  6.130983
-8.079725,  -147.655183,  -0.657511,  6.194996
-7.879321,  -147.677205,  -0.680187,  6.189957
-7.673691,  -147.703469,  -0.811244,  6.351401
-7.468279,  -147.733794,  -0.936644,  6.344641
-7.261430,  -147.763781,  -0.926248,  6.389049
-7.054635,  -147.792420,  -0.884586,  6.387371
-6.844975,  -147.818634,  -0.809680,  6.475876
-6.635387,  -147.844585,  -0.801544,  6.473649
-6.424610,  -147.864841,  -0.625650,  6.510368
-6.212823,  -147.879508,  -0.453035,  6.541545
-6.004891,  -147.902567,  -0.712230,  6.422486
-5.797032,  -147.922130,  -0.604264,  6.420263
-5.589241,  -147.940366,  -0.563265,  6.418114
-5.380164,  -147.959424,  -0.588655,  6.457866
-5.172514,  -147.979323,  -0.614613,  6.413790
-4.966310,  -147.998956,  -0.606412,  6.369097
-4.760142,  -148.016178,  -0.531947,  6.368031
-4.552706,  -148.034244,  -0.558028,  6.407151
-4.345344,  -148.052059,  -0.550249,  6.404909
-4.132619,  -148.069647,  -0.543254,  6.570533
-3.935742,  -148.093441,  -0.734941,  6.081034
-3.738666,  -148.114721,  -0.657276,  6.087173
-3.539884,  -148.132578,  -0.551562,  6.139849
-3.341053,  -148.149004,  -0.507362,  6.141401
-3.139423,  -148.163160,  -0.437228,  6.227823
-2.936428,  -148.174889,  -0.362283,  6.270010
-2.738953,  -148.201425,  -0.819642,  6.099505
-2.541461,  -148.226712,  -0.781044,  6.100011
-2.345199,  -148.248438,  -0.671047,  6.062063
-2.148741,  -148.267644,  -0.593239,  6.068070
-1.950583,  -148.283423,  -0.487386,  6.120617
-1.752378,  -148.297767,  -0.443049,  6.122042
-1.551379,  -148.309836,  -0.372781,  6.208338
-1.349019,  -148.319475,  -0.297700,  6.250400
-1.144168,  -148.328851,  -0.289624,  6.327317
-0.936870,  -148.335824,  -0.215359,  6.402904
-0.725990,  -148.341422,  -0.172924,  6.513542
-0.512823,  -148.345813,  -0.135610,  6.584204
-0.298514,  -148.349930,  -0.127173,  6.619471
-0.084545,  -148.351660,  -0.053440,  6.608954
0.129072,  -148.350903,  0.023390,  6.598088
0.341023,  -148.345643,  0.162455,  6.546618
0.545518,  -148.339090,  0.202425,  6.316332
0.748041,  -148.329135,  0.307483,  6.255418
0.949590,  -148.317960,  0.345161,  6.225355
1.148437,  -148.304393,  0.419053,  6.141861
1.344016,  -148.292787,  0.358473,  6.040936
1.539671,  -148.286384,  0.197772,  6.043288
1.734754,  -148.282978,  0.105200,  6.025623
1.929599,  -148.280426,  0.078818,  6.018267
2.137507,  -148.268029,  0.382909,  6.421741
2.344422,  -148.256447,  0.357738,  6.391075
2.551232,  -148.243586,  0.397254,  6.387861
2.756980,  -148.228394,  0.469236,  6.355013
2.962683,  -148.214092,  0.441758,  6.353648
3.167379,  -148.201763,  0.380825,  6.322561
3.370013,  -148.190277,  0.354778,  6.258825
3.571405,  -148.181885,  0.259202,  6.220506
3.770420,  -148.175389,  0.200633,  6.147063
3.966891,  -148.170801,  0.141704,  6.068488
4.159067,  -148.170267,  0.016504,  5.935835
4.352031,  -148.171831,  -0.048296,  5.960165
4.543631,  -148.173153,  -0.040846,  5.918024
4.732575,  -148.174171,  -0.031431,  5.836019
4.918280,  -148.177097,  -0.090386,  5.735953
5.100146,  -148.178512,  -0.043711,  5.617385
5.303985,  -148.173381,  0.158477,  6.296063
5.509999,  -148.166889,  0.200535,  6.363244
5.717006,  -148.159135,  0.239506,  6.393925
5.920591,  -148.155436,  0.114246,  6.288208
6.121713,  -148.151443,  0.123345,  6.212160
6.320520,  -148.145029,  0.198102,  6.140636
6.518272,  -148.136242,  0.271403,  6.108081
6.714934,  -148.126151,  0.311693,  6.074382
6.909004,  -148.117916,  0.254347,  5.994340
7.101476,  -148.111733,  0.190990,  5.944962
