latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-15.040383,  -147.901528,  1.048374,  1.767949
-14.980789,  -147.873638,  0.861451,  1.840727
-14.919071,  -147.852674,  0.647524,  1.906293
-14.857348,  -147.837940,  0.455090,  1.906476
-14.793411,  -147.829823,  0.250737,  1.974853
-14.725372,  -147.825581,  0.131002,  2.101553
-14.652719,  -147.826142,  -0.017318,  2.244054
-14.573922,  -147.830570,  -0.136759,  2.433839
-14.488534,  -147.841581,  -0.340109,  2.637426
-14.394189,  -147.861383,  -0.611619,  2.914076
-14.289372,  -147.887498,  -0.806627,  3.237541
-14.175771,  -147.924362,  -1.138652,  3.508828
-14.056276,  -147.967756,  -1.340333,  3.690901
-13.930131,  -148.021647,  -1.664541,  3.896318
-13.801725,  -148.083962,  -1.924770,  3.966120
-13.673588,  -148.159323,  -2.327690,  3.957818
-13.547938,  -148.241005,  -2.522960,  3.881023
-13.453820,  -148.259895,  -0.583463,  2.907064
-13.349230,  -148.285098,  -0.778461,  3.230508
-13.235859,  -148.321050,  -1.110470,  3.501770
-13.116593,  -148.363531,  -1.312126,  3.683811
-12.990678,  -148.416507,  -1.636304,  3.889189
-12.862505,  -148.477908,  -1.896498,  3.958947
-12.734602,  -148.552351,  -2.299378,  3.950596
-12.609187,  -148.633116,  -2.494604,  3.873744
-12.486722,  -148.719925,  -2.681308,  3.782648
-12.369698,  -148.813147,  -2.879389,  3.614573
-12.265424,  -148.860880,  -1.474363,  3.220758
-12.164042,  -148.914928,  -1.669421,  3.131437
-12.064460,  -148.975262,  -1.863561,  3.075816
-11.968785,  -149.044284,  -2.131915,  2.955180
-11.873711,  -149.119618,  -2.326878,  2.936589
-11.785080,  -149.201242,  -2.521131,  2.737579
-11.695357,  -149.289390,  -2.722689,  2.771306
-11.604046,  -149.381470,  -2.844122,  2.820365
-11.513460,  -149.479819,  -3.037735,  2.797991
-11.427117,  -149.575733,  -2.962532,  2.666896
-11.336405,  -149.671579,  -2.960446,  2.801881
-11.243349,  -149.765093,  -2.888418,  2.874245
-11.145808,  -149.854206,  -2.752487,  3.012811
-11.042091,  -149.947413,  -2.878913,  3.203547
-10.929377,  -150.046815,  -3.070272,  3.481437
-10.806964,  -150.150421,  -3.200130,  3.781033
-10.675328,  -150.264521,  -3.524260,  4.065924
-10.536983,  -150.384901,  -3.718222,  4.273114
-10.393781,  -150.513628,  -3.976060,  4.423149
-10.252620,  -150.646350,  -4.099448,  4.360112
-10.113952,  -150.781562,  -4.176369,  4.283091
-9.974959,  -150.918416,  -4.227056,  4.293125
-9.866435,  -151.041841,  -3.812291,  3.352060
-9.755825,  -151.154357,  -3.475339,  3.416461
-9.652861,  -151.283909,  -4.001510,  3.180272
-9.549973,  -151.406748,  -3.794216,  3.177972
-9.447156,  -151.527204,  -3.720551,  3.175749
-9.341698,  -151.649570,  -3.779588,  3.257313
-9.239027,  -151.773891,  -3.839956,  3.171274
-9.139179,  -151.897958,  -3.832130,  3.084036
-9.039331,  -152.017482,  -3.691778,  3.084058
-8.936881,  -152.138966,  -3.752323,  3.164409
-8.834507,  -152.260223,  -3.745348,  3.162091
-8.721337,  -152.381308,  -3.739984,  3.495518
-8.601361,  -152.491310,  -3.397699,  3.705763
-8.473598,  -152.588274,  -2.994971,  3.946279
-8.333973,  -152.676062,  -2.711535,  4.312645
-8.191770,  -152.757573,  -2.517687,  4.392310
-8.049632,  -152.838895,  -2.511830,  4.390282
-7.908536,  -152.923996,  -2.628531,  4.358086
-7.766041,  -153.013417,  -2.761988,  4.401294
-7.618092,  -153.104384,  -2.809747,  4.569781
-7.466693,  -153.197742,  -2.883611,  4.676337
-7.320414,  -153.291115,  -2.884049,  4.518179
-7.175483,  -153.388115,  -2.996087,  4.476548
-7.038131,  -153.485320,  -3.002399,  4.242458
-6.906868,  -153.577804,  -2.856605,  4.054378
-6.779471,  -153.663408,  -2.644097,  3.934963
-6.668043,  -153.723186,  -1.846392,  3.441746
-6.556669,  -153.782818,  -1.841857,  3.440064
-6.445124,  -153.844448,  -1.903622,  3.445342
-6.326203,  -153.907934,  -1.960914,  3.673162
-6.205121,  -153.973266,  -2.017930,  3.739900
-6.091948,  -154.051600,  -2.419553,  3.495644
-5.982043,  -154.142603,  -2.810845,  3.394675
-5.855144,  -154.226883,  -2.603184,  3.919603
-5.744216,  -154.285336,  -1.805460,  3.426289
-5.633344,  -154.343641,  -1.800917,  3.424536
-5.522304,  -154.403947,  -1.862673,  3.429743
-5.403891,  -154.466106,  -1.919958,  3.657490
-5.283319,  -154.530112,  -1.976961,  3.724150
-5.170658,  -154.607119,  -2.378570,  3.479813
-5.061269,  -154.696795,  -2.769854,  3.378757
-4.961005,  -154.795011,  -3.033641,  3.096895
-4.870939,  -154.899580,  -3.229861,  2.781910
-4.784062,  -155.010411,  -3.423301,  2.683416
-4.703405,  -155.127547,  -3.618029,  2.491275
-4.628801,  -155.246678,  -3.679674,  2.304349
-4.561249,  -155.371816,  -3.865189,  2.086493
