latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-14.976054,  -147.890854,  1.378075,  3.754907
-14.852717,  -147.850787,  1.237553,  3.809572
-14.727786,  -147.815923,  1.076885,  3.858800
-14.602850,  -147.785734,  0.932460,  3.858962
-14.476254,  -147.760507,  0.779200,  3.910244
-14.346582,  -147.738183,  0.689523,  4.005239
-14.213451,  -147.719454,  0.578490,  4.112064
-14.075715,  -147.703615,  0.489217,  4.254327
-13.933038,  -147.692701,  0.337104,  4.406920
-13.783648,  -147.688363,  0.134014,  4.614276
-13.626410,  -147.688735,  -0.011510,  4.856695
-13.462591,  -147.697141,  -0.259641,  5.059944
-13.294360,  -147.710408,  -0.409787,  5.196227
-13.121151,  -147.731507,  -0.651685,  5.349981
-12.946259,  -147.758877,  -0.845383,  5.401972
-12.771582,  -147.795977,  -1.145934,  5.395343
-12.598784,  -147.837758,  -1.290512,  5.337286
-12.428212,  -147.884010,  -1.428591,  5.268519
-12.261737,  -147.935004,  -1.575097,  5.141994
-12.104841,  -147.951813,  -0.519173,  4.846139
-11.950123,  -147.973315,  -0.664146,  4.778846
-11.796766,  -147.999485,  -0.808325,  4.736802
-11.646350,  -148.032121,  -1.008053,  4.645970
-11.496398,  -148.069437,  -1.152592,  4.631639
-11.351291,  -148.111412,  -1.296481,  4.481964
-11.205380,  -148.158219,  -1.445754,  4.506819
-11.058294,  -148.207909,  -1.534802,  4.543142
-10.901732,  -148.223421,  -0.479141,  4.835795
-10.747350,  -148.243626,  -0.624067,  4.768456
-10.594331,  -148.268497,  -0.768199,  4.726362
-10.444255,  -148.299832,  -0.967876,  4.635477
-10.294645,  -148.335846,  -1.112360,  4.621088
-10.149882,  -148.376516,  -1.256191,  4.471351
-10.004317,  -148.422016,  -1.405406,  4.496142
-9.831898,  -148.494697,  -2.244925,  5.325579
-9.663286,  -148.570339,  -2.336377,  5.208002
-9.496686,  -148.647355,  -2.378846,  5.145844
-9.336177,  -148.732244,  -2.621985,  4.957725
-9.177816,  -148.826447,  -2.909694,  4.891362
