latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-14.860262,  -147.871640,  1.971538,  7.331434
-14.622193,  -147.809638,  1.915090,  7.353358
-14.383485,  -147.749722,  1.850662,  7.373088
-14.144774,  -147.691678,  1.792820,  7.373170
-13.905399,  -147.635619,  1.731518,  7.393682
-13.664795,  -147.580719,  1.695738,  7.431658
-13.422808,  -147.527251,  1.651476,  7.474352
-13.178981,  -147.474933,  1.615992,  7.531202
-12.933180,  -147.424574,  1.555442,  7.592167
-12.684697,  -147.376833,  1.474605,  7.675012
-12.433079,  -147.330959,  1.416936,  7.771849
-12.178833,  -147.288277,  1.318341,  7.852989
-11.922830,  -147.247512,  1.259110,  7.907301
-11.664842,  -147.209850,  1.163287,  7.968576
-11.406190,  -147.174661,  1.086907,  7.989106
-11.147634,  -147.143324,  0.967912,  7.986159
-10.889840,  -147.113814,  0.911486,  7.962598
-10.632948,  -147.086044,  0.857746,  7.934734
-10.377707,  -147.060121,  0.800717,  7.883746
-10.126310,  -147.020469,  1.224743,  7.765009
-9.875793,  -146.982662,  1.167770,  7.737849
-9.625151,  -146.960961,  0.670267,  7.741695
-9.371628,  -146.940419,  0.634487,  7.830675
-9.114945,  -146.921648,  0.579791,  7.928278
-8.859216,  -146.901444,  0.624061,  7.898827
-8.602538,  -146.882983,  0.570201,  7.928143
-8.344926,  -146.865659,  0.535117,  7.956980
-8.088852,  -146.849447,  0.500725,  7.909460
-7.833600,  -146.833713,  0.485985,  7.884096
-7.580800,  -146.821054,  0.391017,  7.808340
-7.328877,  -146.812042,  0.278365,  7.781256
-7.078884,  -146.800229,  0.364854,  7.721652
-6.834143,  -146.785585,  0.452323,  7.559447
-6.588166,  -146.766927,  0.576304,  7.597608
-6.342294,  -146.748676,  0.563719,  7.594354
-6.093294,  -146.732938,  0.486126,  7.690987
-5.844433,  -146.719598,  0.412015,  7.686679
-5.594718,  -146.706018,  0.419451,  7.713058
-5.345044,  -146.691590,  0.445661,  7.711784
-5.093660,  -146.675667,  0.491813,  7.764621
-4.842328,  -146.659548,  0.497891,  7.763023
-4.590290,  -146.639972,  0.604634,  7.784792
-4.337655,  -146.617007,  0.709345,  7.803250
-4.087341,  -146.599041,  0.554905,  7.731582
-3.844776,  -146.580924,  0.559600,  7.492210
-3.600600,  -146.563181,  0.548044,  7.541994
-3.355608,  -146.545280,  0.552909,  7.567155
-3.109860,  -146.527850,  0.538374,  7.590532
-2.863471,  -146.512810,  0.464531,  7.610351
-2.617228,  -146.498854,  0.431081,  7.605816
-2.371134,  -146.485974,  0.397814,  7.601226
-2.126828,  -146.470903,  0.465511,  7.545972
-1.882520,  -146.455041,  0.489946,  7.546069
-1.638955,  -146.437001,  0.557219,  7.523095
-1.395280,  -146.417409,  0.605139,  7.526500
-1.150591,  -146.395721,  0.669865,  7.557833
-0.905880,  -146.373135,  0.697648,  7.558500
-0.659499,  -146.349145,  0.740984,  7.610090
-0.412306,  -146.323659,  0.787194,  7.635143
-0.163626,  -146.297979,  0.793181,  7.681114
0.086517,  -146.270819,  0.838899,  7.726285
0.338804,  -146.242798,  0.865501,  7.792490
0.592457,  -146.214015,  0.889031,  7.834711
0.846790,  -146.185032,  0.895237,  7.855696
1.100913,  -146.154578,  0.940633,  7.849210
1.354819,  -146.122595,  0.987862,  7.842519
1.607720,  -146.087876,  1.072404,  7.811469
1.856143,  -146.052346,  1.097423,  7.673141
2.110937,  -146.010864,  1.281272,  7.869949
2.366612,  -145.968519,  1.307936,  7.897152
2.621443,  -145.924756,  1.351715,  7.871081
2.875352,  -145.881562,  1.334146,  7.842615
3.129448,  -145.839511,  1.298869,  7.848374
3.382623,  -145.798639,  1.262438,  7.819936
3.634162,  -145.758259,  1.247229,  7.769400
3.884614,  -145.719039,  1.211416,  7.735812
4.134464,  -145.680274,  1.197341,  7.717255
4.384247,  -145.640708,  1.222104,  7.715165
4.633387,  -145.599709,  1.266336,  7.695296
4.882496,  -145.559212,  1.250858,  7.694322
5.130995,  -145.519865,  1.215337,  7.675510
5.378250,  -145.480988,  1.200798,  7.637100
5.624756,  -145.443932,  1.144566,  7.613935
5.869829,  -145.407975,  1.110610,  7.569684
6.113370,  -145.373124,  1.076485,  7.522344
6.354327,  -145.340662,  1.002645,  7.442550
6.595749,  -145.309416,  0.965131,  7.456928
6.836345,  -145.277978,  0.971031,  7.431414
7.075341,  -145.246311,  0.978121,  7.381978
7.312386,  -145.215742,  0.944193,  7.321704
7.547119,  -145.184218,  0.973693,  7.250317
7.795028,  -145.148719,  1.096477,  7.657280
8.019527,  -145.128544,  0.623152,  6.934195
8.243955,  -145.108135,  0.630374,  6.932000
8.469153,  -145.088191,  0.616020,  6.955810
8.695416,  -145.067968,  0.624635,  6.988697
8.923772,  -145.047603,  0.629047,  7.053325
9.152262,  -145.026377,  0.655593,  7.057484
9.384755,  -145.005409,  0.647649,  7.181116
9.618362,  -144.983558,  0.674920,  7.215522
9.853913,  -144.961455,  0.682729,  7.275567
10.090641,  -144.937762,  0.731802,  7.311949
10.325640,  -144.912471,  0.781186,  7.258522
10.558624,  -144.886916,  0.789309,  7.196276
10.789693,  -144.860658,  0.811062,  7.137136
11.019463,  -144.834859,  0.796851,  7.096996
11.247776,  -144.809858,  0.772212,  7.052014
