latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-14.948485,  -147.886279,  1.519376,  4.606461
-14.797830,  -147.840992,  1.398806,  4.653346
-14.645808,  -147.800166,  1.261009,  4.695562
-14.493782,  -147.763349,  1.137180,  4.695710
-14.340332,  -147.730785,  1.005815,  4.739665
-14.184247,  -147.700709,  0.928995,  4.821078
-14.025198,  -147.673711,  0.833900,  4.912624
-13.862202,  -147.649186,  0.757495,  5.034536
-13.694972,  -147.628878,  0.627262,  5.165294
-13.521990,  -147.614200,  0.453385,  5.342978
-13.342283,  -147.603551,  0.328923,  5.550700
-13.156938,  -147.599777,  0.116571,  5.724832
-12.967815,  -147.600156,  -0.011711,  5.841545
-12.774428,  -147.607232,  -0.218582,  5.973220
-12.579603,  -147.619666,  -0.384057,  6.017649
-12.384967,  -147.640421,  -0.641059,  6.011818
-12.191947,  -147.665165,  -0.764281,  5.961884
-12.000842,  -147.693717,  -0.881889,  5.902760
-11.813254,  -147.726309,  -1.006681,  5.794119
-11.633883,  -147.729572,  -0.100778,  5.540328
-11.456383,  -147.736841,  -0.224536,  5.482526
-11.280054,  -147.748094,  -0.347572,  5.446355
-11.106250,  -147.764870,  -0.518179,  5.368356
-10.932849,  -147.785637,  -0.641423,  5.355915
-10.763607,  -147.810374,  -0.764065,  5.227454
-10.593681,  -147.839230,  -0.891284,  5.248582
-10.422753,  -147.870531,  -0.966831,  5.279525
-10.252311,  -147.905778,  -1.088668,  5.264521
-10.084619,  -147.939369,  -1.037544,  5.179587
-9.914138,  -147.972828,  -1.033486,  5.265717
-9.733197,  -148.043557,  -2.184630,  5.588815
-9.556357,  -148.108428,  -2.003711,  5.462134
-9.390739,  -148.167368,  -1.820484,  5.115540
-9.200335,  -148.215020,  -1.471867,  5.881086
-9.007907,  -148.265218,  -1.550471,  5.943596
-8.818753,  -148.317917,  -1.627733,  5.842510
-8.631333,  -148.371757,  -1.662982,  5.788918
-8.449144,  -148.432306,  -1.870217,  5.627356
-8.268808,  -148.500799,  -2.115586,  5.570136
-8.092578,  -148.563431,  -1.934542,  5.443292
-7.927574,  -148.620127,  -1.751201,  5.096545
-7.759898,  -148.668346,  -1.489359,  5.179100
-7.592423,  -148.717554,  -1.519908,  5.172854
-7.418221,  -148.772264,  -1.689832,  5.380665
-7.244292,  -148.832242,  -1.852594,  5.372229
-7.068506,  -148.891841,  -1.840853,  5.429596
-6.892780,  -148.949759,  -1.788927,  5.427712
-6.713362,  -149.004611,  -1.694251,  5.541774
-6.534028,  -149.059177,  -1.685401,  5.539176
-6.353156,  -149.106474,  -1.460875,  5.586655
-6.170979,  -149.146635,  -1.240473,  5.626991
-5.993750,  -149.197632,  -1.575165,  5.474152
-5.816605,  -149.244186,  -1.437961,  5.471560
-5.639541,  -149.289085,  -1.386804,  5.469054
-5.460815,  -149.335091,  -1.420994,  5.520418
-5.283914,  -149.382228,  -1.455952,  5.464010
-5.108865,  -149.429076,  -1.447021,  5.406814
-4.933852,  -149.472877,  -1.352900,  5.405711
-4.757202,  -149.517815,  -1.388018,  5.456271
-4.580637,  -149.562482,  -1.379641,  5.453657
-4.397168,  -149.606910,  -1.372285,  5.666872
-4.209362,  -149.644085,  -1.148239,  5.800866
-4.016585,  -149.672755,  -0.885545,  5.954378
-3.851000,  -149.717747,  -1.389695,  5.114499
-3.685342,  -149.760954,  -1.334534,  5.116776
-3.516077,  -149.801294,  -1.246018,  5.228170
-3.345046,  -149.838568,  -1.151294,  5.282685
-3.170801,  -149.875563,  -1.142687,  5.382008
-2.993395,  -149.909526,  -1.049008,  5.479628
-2.811369,  -149.941779,  -0.996225,  5.622306
-2.626388,  -149.972537,  -0.950035,  5.713588
-2.439925,  -150.003001,  -0.940974,  5.759363
-2.253886,  -150.030455,  -0.847979,  5.746278
-2.068285,  -150.054768,  -0.750961,  5.732735
-1.884814,  -150.073348,  -0.573878,  5.666975
-1.710915,  -150.090316,  -0.524094,  5.371284
-1.539540,  -150.102960,  -0.390562,  5.293342
-1.369405,  -150.114084,  -0.343576,  5.255048
-1.202734,  -150.122178,  -0.250005,  5.148050
-1.040253,  -150.132838,  -0.329261,  5.018626
-0.877662,  -150.150233,  -0.537290,  5.021999
-0.715795,  -150.171532,  -0.657881,  4.999676
-0.554220,  -150.193983,  -0.693464,  4.990632
-0.392022,  -150.221788,  -0.858823,  5.009882
-0.228847,  -150.253552,  -0.981103,  5.040059
-0.067807,  -150.287873,  -1.060084,  4.974140
0.090194,  -150.319221,  -0.968254,  4.880246
0.243384,  -150.348793,  -0.913420,  4.731652
0.400067,  -150.376901,  -0.868184,  4.839527
0.558580,  -150.403149,  -0.810727,  4.896058
0.717224,  -150.427930,  -0.765410,  4.900122
0.877139,  -150.453828,  -0.799936,  4.939361
1.036750,  -150.480857,  -0.834854,  4.929972
1.196055,  -150.509012,  -0.869650,  4.920526
1.355030,  -150.538427,  -0.908555,  4.910352
1.512002,  -150.568958,  -0.943027,  4.848468
1.666626,  -150.602063,  -1.022508,  4.775940
1.817022,  -150.637432,  -1.092477,  4.645347
1.961998,  -150.665514,  -0.867359,  4.477943
2.135242,  -150.685246,  -0.609488,  5.351060
2.311299,  -150.703295,  -0.557490,  5.437958
2.488650,  -150.719789,  -0.509456,  5.477926
2.670653,  -150.740119,  -0.627943,  5.621617
2.852717,  -150.761707,  -0.666784,  5.623486
3.034824,  -150.784409,  -0.701204,  5.624831
3.218225,  -150.805424,  -0.649119,  5.664787
3.399676,  -150.823310,  -0.552443,  5.604545
3.579657,  -150.842324,  -0.587285,  5.559175
3.755066,  -150.862461,  -0.622000,  5.417931
3.928848,  -150.882378,  -0.615181,  5.367677
4.101002,  -150.902049,  -0.607578,  5.317408
4.270004,  -150.921408,  -0.597958,  5.220034
4.436041,  -150.937723,  -0.503923,  5.128482
4.600737,  -150.951052,  -0.411693,  5.087025
4.764042,  -150.962767,  -0.361849,  5.044088
4.924028,  -150.976932,  -0.437512,  4.941567
5.081972,  -150.993798,  -0.520968,  4.878487
5.237813,  -151.013043,  -0.594427,  4.813530
5.394670,  -151.035042,  -0.679502,  4.844918
5.549295,  -151.059524,  -0.756172,  4.775963
5.704053,  -151.082377,  -0.705862,  4.780088
5.859235,  -151.101964,  -0.605014,  4.793175
6.019454,  -151.118704,  -0.517035,  4.948751
6.188902,  -151.128206,  -0.293518,  5.233833
6.360987,  -151.133307,  -0.157535,  5.315260
6.536976,  -151.138139,  -0.149264,  5.435854
6.714208,  -151.142768,  -0.142969,  5.474241
6.892684,  -151.147167,  -0.135873,  5.512671
7.071203,  -151.152704,  -0.171024,  5.513993
7.248248,  -151.157987,  -0.163169,  5.468467
7.432800,  -151.167055,  -0.280102,  5.700350
7.615787,  -151.175957,  -0.274967,  5.652019
7.800640,  -151.187496,  -0.356416,  5.709631
7.920881,  -151.230775,  -1.336763,  3.713949
8.041484,  -151.272612,  -1.292235,  3.725107
8.160233,  -151.312652,  -1.236738,  3.667854
8.277403,  -151.350375,  -1.165157,  3.619086
8.393163,  -151.390590,  -1.242161,  3.575525
8.507274,  -151.433796,  -1.334500,  3.524614
8.617320,  -151.479600,  -1.414786,  3.399036
8.723571,  -151.522001,  -1.309652,  3.281839
8.827354,  -151.568536,  -1.437354,  3.205590
8.930488,  -151.615765,  -1.458795,  3.185523
9.033384,  -151.668283,  -1.622121,  3.178208
9.137512,  -151.729498,  -1.890798,  3.216236
9.241487,  -151.790381,  -1.880502,  3.211540
9.344800,  -151.845922,  -1.715521,  3.191075
9.453596,  -151.884419,  -1.189071,  3.360440
9.561133,  -151.924868,  -1.249397,  3.321524
9.666159,  -151.964584,  -1.226704,  3.243989
9.770797,  -152.004517,  -1.233439,  3.232018
9.871099,  -152.046945,  -1.310486,  3.098080
